INSTNM,HIGHDEG,CONTROL,ADM_RATE,UGDS
Alabama A & M University,4,1,0.8989,4051
University of Alabama at Birmingham,4,1,0.8673,11200
Amridge University,4,2,NULL,322
University of Alabama in Huntsville,4,1,0.8062,5525
Alabama State University,4,1,0.5125,5354
The University of Alabama,4,1,0.5655,28692
Central Alabama Community College,2,1,NULL,1779
Athens State University,3,1,NULL,2999
Auburn University at Montgomery,4,1,0.8371,4322
Auburn University,4,1,0.8274,19761
Birmingham-Southern College,3,2,0.6422,1181
Chattahoochee Valley Community College,2,1,NULL,1769
Concordia College Alabama,3,2,NULL,523
South University-Montgomery,4,3,0.4366,599
Enterprise State Community College,2,1,NULL,1984
Coastal Alabama Community College,2,1,NULL,4182
Faulkner University,4,2,NULL,2358
Gadsden State Community College,2,1,NULL,5480
New Beginning College of Cosmetology,1,3,NULL,89
George C Wallace Community College-Dothan,2,1,NULL,4293
George C Wallace State Community College-Hanceville,2,1,NULL,4904
George C Wallace State Community College-Selma,2,1,NULL,1604
Herzing University-Birmingham,3,3,0.7234,318
Huntingdon College,3,2,0.6279,1100
Heritage Christian University,4,2,NULL,67
J. F. Drake State Community and Technical College,2,1,NULL,1040
J F Ingram State Technical College,2,1,NULL,504
Jacksonville State University,4,1,0.8326,7195
Jefferson Davis Community College,2,1,NULL,1037
Jefferson State Community College,2,1,NULL,7494
John C Calhoun State Community College,2,1,NULL,9970
Judson College,3,2,0.7388,331
Lawson State Community College,2,1,NULL,2894
University of West Alabama,4,1,0.9957,1988
Lurleen B Wallace Community College,2,1,NULL,1372
Marion Military Institute,2,1,0.6034,411
Miles College,3,2,NULL,1663
University of Mobile,4,2,0.7125,1472
University of Montevallo,4,1,0.8729,2610
Northwest-Shoals Community College,2,1,NULL,3235
University of North Alabama,4,1,0.8092,5536
Northeast Alabama Community College,2,1,NULL,2376
Oakwood University,4,2,0.3435,1854
Alabama Southern Community College,2,1,NULL,1218
Prince Institute-Southeast,2,3,NULL,102
Reid State Technical College,2,1,NULL,414
Bishop State Community College,2,1,NULL,3363
Samford University,4,2,0.7697,2995
Selma University,4,2,NULL,447
Shelton State Community College,2,1,NULL,4859
Snead State Community College,2,1,NULL,2161
University of South Alabama,4,1,0.8604,11048
Spring Hill College,4,2,0.4627,1269
Southeastern Bible College,3,2,0.9615,160
Stillman College,3,2,0.43,863
Talladega College,3,2,NULL,894
H Councill Trenholm State Community College,2,1,NULL,1262
Troy University,4,1,0.6821,16208
Tuskegee University,4,2,0.3511,2584
United States Sports Academy,4,2,NULL,80
Bevill State Community College,2,1,NULL,3212
University of Alaska Anchorage,4,1,NULL,13116
Alaska Bible College,3,2,NULL,26
University of Alaska Fairbanks,4,1,NULL,5729
University of Alaska Southeast,4,1,NULL,1488
Alaska Pacific University,4,2,0.3745,340
Alaska Vocational Technical Center,2,1,0.4888,1347
Charter College,3,3,NULL,2191
Prince William Sound Community College,2,1,NULL,134
Alaska Career College,2,3,NULL,335
Everest College-Phoenix,3,3,NULL,2761
Collins College,3,3,NULL,254
Empire Beauty School-Paradise Valley,1,3,NULL,43
Empire Beauty School-Tucson,1,3,NULL,175
Thunderbird School of Global Management,4,2,NULL,2
American Indian College Inc,3,2,NULL,77
American Institute of Trucking,1,3,NULL,278
Carrington College-Phoenix North,3,3,1,676
Carrington College-Mesa,2,3,1,691
Carrington College-Tucson,2,3,1,440
CollegeAmerica-Flagstaff,3,2,NULL,94
Arizona Academy of Beauty,1,3,NULL,47
Miller-Motte College-Arizona Automotive Institute,1,3,NULL,505
Brookline College-Phoenix,3,3,NULL,828
Arizona State University Campus Immersion,4,1,0.8023,38480
Arizona Western College,2,1,NULL,7442
University of Arizona,4,1,0.7692,31399
Southwest University of Visual Arts-Tucson,3,3,NULL,216
Brillare Hairdressing Academy,1,3,NULL,226
Central Arizona College,2,1,NULL,5462
Brown Mackie College-Tucson,3,3,NULL,684
