INSTNM,HIGHDEG,CONTROL,ADM_RATE,UGDS
Alabama A & M University,4,1,0.9175,5271
University of Alabama at Birmingham,4,1,0.7366,13328
Amridge University,4,2,NULL,365
University of Alabama in Huntsville,4,1,0.8257,7785
Alabama State University,4,1,0.969,3750
The University of Alabama,4,1,0.8268,31900
Central Alabama Community College,2,1,NULL,1201
Athens State University,4,1,NULL,2677
Auburn University at Montgomery,4,1,0.9044,4407
Auburn University,4,1,0.8067,24209
Birmingham-Southern College,3,2,0.5381,1205
Chattahoochee Valley Community College,2,1,NULL,1394
South University-Montgomery,4,3,NULL,251
Enterprise State Community College,2,1,NULL,1332
Coastal Alabama Community College,2,1,NULL,5508
Faulkner University,4,2,0.7833,1928
Gadsden State Community College,2,1,NULL,3968
New Beginning College of Cosmetology,1,3,NULL,83
George C Wallace Community College-Dothan,2,1,NULL,3649
George C Wallace State Community College-Hanceville,2,1,NULL,4429
George C Wallace State Community College-Selma,2,1,NULL,1034
Herzing University-Birmingham,4,2,0.7826,565
Huntingdon College,3,2,0.5929,1007
Heritage Christian University,4,2,0.2353,59
J. F. Drake State Community and Technical College,2,1,NULL,649
J F Ingram State Technical College,1,1,NULL,485
Jacksonville State University,4,1,0.5479,6743
Jefferson State Community College,2,1,NULL,6548
John C Calhoun State Community College,2,1,NULL,7728
Judson College,3,2,0.3724,245
Lawson State Community College,2,1,NULL,3047
University of West Alabama,4,1,0.3493,2235
Lurleen B Wallace Community College,2,1,NULL,1204
Marion Military Institute,2,1,0.5761,406
Miles College,3,2,NULL,1452
University of Mobile,4,2,0.4566,1192
University of Montevallo,4,1,0.532,2200
Northwest-Shoals Community College,2,1,NULL,2537
University of North Alabama,4,1,0.8878,5513
Northeast Alabama Community College,2,1,NULL,1975
Oakwood University,4,2,0.6473,1442
Reid State Technical College,2,1,NULL,327
Bishop State Community College,2,1,NULL,2306
Samford University,4,2,0.8331,3585
Selma University,4,2,NULL,310
Shelton State Community College,2,1,NULL,3715
Snead State Community College,2,1,NULL,1745
University of South Alabama,4,1,0.7869,9380
Spring Hill College,4,2,0.4978,1156
Stillman College,3,2,0.3296,830
Talladega College,3,2,NULL,1169
H Councill Trenholm State Community College,2,1,NULL,1741
Troy University,4,1,0.8757,12595
Tuskegee University,4,2,0.5173,2394
United States Sports Academy,4,2,NULL,211
Bevill State Community College,2,1,NULL,2695
University of Alaska Anchorage,4,1,0.8296,9257
Alaska Bible College,3,2,NULL,30
University of Alaska Fairbanks,4,1,0.7599,4410
University of Alaska Southeast,4,1,0.6057,1156
Alaska Pacific University,4,2,0.8924,318
Alaska Vocational Technical Center,1,1,NULL,631
Charter College,3,3,NULL,2474
Alaska Career College,2,3,NULL,361
Empire Beauty School-Tucson,1,3,NULL,106
Carrington College-Phoenix North,2,3,NULL,1644
CollegeAmerica-Flagstaff,2,2,NULL,36
Arizona Academy of Beauty,1,3,NULL,40
Miller-Motte College-Arizona Automotive Institute,1,3,NULL,490
Brookline College-Phoenix,4,3,NULL,1437
Arizona State University Campus Immersion,4,1,0.8647,44038
Arizona Western College,2,1,NULL,6856
University of Arizona,4,1,0.8459,33715
Southwest University of Visual Arts-Tucson,4,2,NULL,92
Central Arizona College,2,1,NULL,4777
Charles of Italy Beauty College,1,3,NULL,58
Cochise County Community College District,2,1,NULL,3387
Empire Beauty School-Flagstaff,1,3,NULL,26
Empire Beauty School-Chandler,1,3,NULL,59
Avalon Institute-Mesa,1,3,NULL,284
Eastern Arizona College,2,1,NULL,4642
Embry-Riddle Aeronautical University-Prescott,4,2,0.657,2885
The School of Architecture,4,2,NULL,NULL
Glendale Community College,2,1,NULL,14134
Grand Canyon University,4,3,0.7694,57629
GateWay Community College,2,1,NULL,4162
Mesa Community College,2,1,NULL,16010
Mohave Community College,2,1,NULL,2888
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,1,3,NULL,840
Dine College,3,1,NULL,1377
Northern Arizona University,4,1,0.8489,26135
Northland Pioneer College,2,1,NULL,1288
Ottawa University-Phoenix,4,2,NULL,383
Phoenix College,2,1,NULL,8866
Pima Community College,2,1,NULL,17141
Pima Medical Institute-Tucson,3,3,NULL,1931
Pima Medical Institute-Albuquerque,2,3,NULL,708
Prescott College,4,2,0.9741,465
Refrigeration School Inc,2,3,NULL,903
Rio Salado College,2,1,NULL,5829
Roberto-Venn School of Luthiery,1,3,NULL,19
Scottsdale Community College,2,1,NULL,5688
South Mountain Community College,2,1,NULL,3118
Arizona Christian University,3,2,0.6793,803
Universal Technical Institute of Arizona Inc,2,3,NULL,1873
Empire Beauty School-NW Phoenix,1,3,NULL,78
Yavapai College,2,1,NULL,4390
University of Arkansas at Little Rock,4,1,0.6582,5900
University of Arkansas for Medical Sciences,4,1,NULL,649
Arkansas Baptist College,3,2,NULL,531
Arkansas Beauty School-Little Rock,1,3,NULL,8
Arkansas Beauty College,1,3,NULL,18
Lyon College,3,2,0.444,650
Arkansas Technical School,1,3,NULL,82
Arthur's Beauty College,1,3,NULL,32
University of Arkansas,4,1,0.7709,22766
University of Arkansas at Pine Bluff,4,1,0.4394,2333
Arkansas State University-Beebe,2,1,NULL,2367
Arkansas State University,4,1,0.7991,8159
Arkansas Tech University,4,1,0.9474,7930
University of Arkansas at Monticello,4,1,NULL,2131
Arthur's Beauty College,1,3,NULL,32
Baptist Health College Little Rock,2,2,1,616
Black River Technical College,2,1,NULL,1155
University of Central Arkansas,4,1,0.9042,8557
Central Baptist College,3,2,0.4,600
Cossatot Community College of the University of Arkansas,2,1,NULL,979
Crowley's Ridge College,3,2,NULL,162
East Arkansas Community College,2,1,NULL,790
Eastern College of Health Vocations-Little Rock,1,3,NULL,144
Paul Mitchell the School-Little Rock,1,3,NULL,359
National Park College,2,1,NULL,1967
University of Arkansas Community College-Batesville,2,1,NULL,952
Harding University,4,2,0.6134,3749
Henderson State University,4,1,0.7564,2965
Hendrix College,4,2,0.6996,1104
Hot Springs Beauty College,1,3,NULL,57
Jefferson Regional Medical Center School of Nursing,2,2,NULL,56
John Brown University,4,2,0.7577,1447
Career Academy of Hair Design,1,3,NULL,184
Academy of Salon and Spa,1,3,NULL,63
Arkansas State University Mid-South,2,1,NULL,589
Arkansas Northeastern College,2,1,NULL,918
New Tyler Barber College Inc,1,3,NULL,30
North Arkansas College,2,1,NULL,1286
Northwest Technical Institute,1,1,NULL,181
Ouachita Baptist University,3,2,0.6143,1524
Arkansas State University Three Rivers,2,1,NULL,525
Ozarka College,2,1,NULL,818
University of the Ozarks,3,2,0.5019,812
University of Arkansas Community College-Morrilton,2,1,0.7551,1651
Philander Smith College,3,2,NULL,996
Phillips Community College of the University of Arkansas,2,1,NULL,705
Southeast Arkansas College,2,1,NULL,1021
Professional Cosmetology Education Center,1,3,NULL,44
University of Arkansas-Pulaski Technical College,2,1,NULL,4629
University of Arkansas Hope-Texarkana,2,1,NULL,926
University of Arkansas Community College Rich Mountain,2,1,NULL,524
Paul Mitchell the School-Arkansas,1,3,NULL,102
Searcy Beauty College,1,3,NULL,73
Shorter College,2,2,NULL,221
Williams Baptist University,4,2,0.5878,512
South Arkansas Community College,2,1,NULL,1145
Southern Arkansas University Main Campus,4,1,0.6506,3164
Southern Arkansas University Tech,2,1,NULL,722
Velvatex College of Beauty Culture,1,3,NULL,15
University of Arkansas-Fort Smith,4,1,NULL,4883
Academy of Art University,4,3,NULL,6570
Academy of Chinese Culture and Health Sciences,4,2,NULL,NULL
Avalon School of Cosmetology-Alameda,1,3,NULL,47
College of Alameda,2,1,NULL,4436
Allan Hancock College,2,1,NULL,9029
American Academy of Dramatic Arts-Los Angeles,2,2,0.7847,251
Berkeley School of Theology,4,2,NULL,NULL
American Film Institute Conservatory,4,2,NULL,NULL
American Beauty College,1,3,NULL,92
American Career College-Los Angeles,2,3,NULL,1567
American Conservatory Theater,4,2,NULL,1
American River College,2,1,NULL,28666
Antelope Valley Community College District,3,1,NULL,12334
Art Center College of Design,4,2,0.7084,2034
Associated Technical College-Los Angeles,1,3,NULL,335
Associated Technical College-San Diego,1,3,NULL,85
Azusa Pacific University,4,2,0.6748,5128
Bakersfield College,3,1,NULL,19945
Barstow Community College,2,1,NULL,2801
Bellus Academy-Chula Vista,1,3,NULL,239
Bethesda University,4,2,NULL,258
Biola University,4,2,0.6985,4031
Brownson Technical School,1,3,NULL,53
Bryan University,4,3,NULL,1115
Butte College,2,1,NULL,9249
California Institute of Integral Studies,4,2,NULL,69
Cabrillo College,2,1,NULL,9800
California Baptist University,4,2,0.7828,8170
California College of the Arts,4,2,0.8503,1455
University of California-Hastings College of Law,4,1,NULL,NULL
California Institute of Technology,4,2,0.0642,938
California Lutheran University,4,2,0.7142,3077
California Polytechnic State University-San Luis Obispo,4,1,0.2842,20453
Alliant International University-San Diego,4,3,0.6667,327
California State University-Bakersfield,4,1,0.8071,9750
California State University-Stanislaus,4,1,0.8929,9686
California State University-San Bernardino,4,1,0.6856,17963
California State Polytechnic University-Pomona,4,1,0.5459,26373
California State University-Chico,4,1,0.7233,16044
California State University-Dominguez Hills,4,1,0.77,15328
California State University-Fresno,4,1,0.5794,21156
California State University-Fullerton,4,1,0.5269,35087
California State University-East Bay,4,1,0.7618,13104
California State University-Long Beach,4,1,0.3927,32900
California State University-Los Angeles,4,1,0.4781,22743
California State University-Northridge,4,1,0.5934,34713
California State University-Sacramento,4,1,0.8226,28718
University of California-Berkeley,4,1,0.1625,31345
University of California-Davis,4,1,0.3887,30962
University of California-Irvine,4,1,0.2654,30367
University of California-Los Angeles,4,1,0.1232,31537
University of California-Riverside,4,1,0.5652,22015
University of California-San Diego,4,1,0.3148,30789
University of California-San Francisco,4,1,NULL,NULL
University of California-Santa Barbara,4,1,0.2956,23337
University of California-Santa Cruz,4,1,0.5131,17517
Sofia University,4,3,NULL,8
California Beauty School,1,3,NULL,105
California Christian College,2,2,1,11
Haven University,4,2,NULL,18
California Hair Design Academy,1,3,NULL,128
California Institute of the Arts,4,2,0.2528,1015
California State University Maritime Academy,4,1,0.7621,911
California Western School of Law,4,2,NULL,NULL
Canada College,2,1,NULL,4811
College of the Canyons,2,1,NULL,16902
Career Academy of Beauty,1,3,NULL,159
Casa Loma College-Van Nuys,2,2,NULL,162
CET-San Diego,1,2,NULL,170
CET-San Jose,1,2,NULL,229
CET-El Centro,1,2,NULL,217
CET-Colton,1,2,NULL,166
CET-Watsonville,1,2,NULL,116
CET-Salinas,1,2,NULL,144
Cerritos College,2,1,NULL,21339
Cerro Coso Community College,2,1,NULL,4352
Chabot College,2,1,NULL,12386
Chaffey College,2,1,NULL,19310
Chapman University,4,2,0.5565,7294
Charles R Drew University of Medicine and Science,4,2,0.3164,183
Concordia University-Irvine,4,2,0.7081,1723
San Diego Christian College,4,2,0.5526,469
Stockton Christian Life College,0,2,NULL,0
Church Divinity School of the Pacific,4,2,NULL,NULL
Citrus College,2,1,NULL,11478
Citrus Heights Beauty College,1,3,NULL,123
City College of San Francisco,2,1,NULL,21820
Claremont Graduate University,4,2,NULL,NULL
Claremont McKenna College,4,2,0.103,1335
Milan Institute-Visalia,1,3,NULL,395
Clovis Adult Education,1,1,NULL,671
Coastline Community College,2,1,NULL,9360
University of Silicon Valley,3,3,0.4934,541
Coba Academy,1,3,NULL,83
Western University of Health Sciences,4,2,NULL,NULL
Columbia College,2,1,NULL,2483
Columbia College Hollywood,3,2,NULL,870
