INSTNM,HIGHDEG,CONTROL,ADM_RATE,UGDS
Alabama A & M University,4,1,0.9027,4824
University of Alabama at Birmingham,4,1,0.9181,12866
Amridge University,4,2,NULL,318
University of Alabama in Huntsville,4,1,0.8123,6917
Alabama State University,4,1,0.9787,4189
The University of Alabama,4,1,0.533,32387
Central Alabama Community College,2,1,NULL,1404
Athens State University,3,1,NULL,2801
Auburn University at Montgomery,4,1,0.824,4211
Auburn University,4,1,0.8393,23391
Birmingham-Southern College,3,2,0.6186,1283
Chattahoochee Valley Community College,2,1,NULL,1370
Concordia College Alabama,3,2,NULL,389
South University-Montgomery,4,3,NULL,369
Enterprise State Community College,2,1,NULL,1365
Coastal Alabama Community College,2,1,NULL,4101
Faulkner University,4,2,0.5101,2272
Gadsden State Community College,2,1,NULL,4349
New Beginning College of Cosmetology,1,3,NULL,83
George C Wallace Community College-Dothan,2,1,NULL,3836
George C Wallace State Community College-Hanceville,2,1,NULL,4805
George C Wallace State Community College-Selma,2,1,NULL,1217
Herzing University-Birmingham,4,2,0.757,537
Huntingdon College,3,2,0.5598,1099
Heritage Christian University,4,2,1,59
J. F. Drake State Community and Technical College,2,1,NULL,685
J F Ingram State Technical College,1,1,NULL,449
Jacksonville State University,4,1,0.5402,6622
Jefferson Davis Community College,2,1,NULL,720
Jefferson State Community College,2,1,NULL,7052
John C Calhoun State Community College,2,1,NULL,8247
Judson College,3,2,0.507,315
Lawson State Community College,2,1,NULL,3034
University of West Alabama,4,1,0.2821,2106
Lurleen B Wallace Community College,2,1,NULL,1354
Marion Military Institute,2,1,0.5587,444
Miles College,3,2,NULL,1647
University of Mobile,4,2,0.4702,1276
University of Montevallo,4,1,0.6445,2329
Northwest-Shoals Community College,2,1,NULL,2698
University of North Alabama,4,1,0.7022,5771
Northeast Alabama Community College,2,1,NULL,1983
Oakwood University,4,2,0.4707,1623
Alabama Southern Community College,2,1,NULL,765
Reid State Technical College,2,1,NULL,285
Bishop State Community College,2,1,NULL,2623
Samford University,4,2,0.8319,3364
Selma University,4,2,NULL,311
Shelton State Community College,2,1,NULL,4230
Snead State Community College,2,1,NULL,1891
University of South Alabama,4,1,0.8208,10712
Spring Hill College,4,2,0.4568,1375
Stillman College,3,2,0.4812,633
Talladega College,3,2,NULL,782
H Councill Trenholm State Community College,2,1,NULL,1610
Troy University,4,1,0.8812,13634
Tuskegee University,4,2,0.5032,2833
United States Sports Academy,4,2,NULL,88
Bevill State Community College,2,1,NULL,3029
University of Alaska Anchorage,4,1,0.8283,11332
Alaska Bible College,3,2,NULL,31
University of Alaska Fairbanks,4,1,0.767,4910
University of Alaska Southeast,4,1,0.7105,1214
Alaska Pacific University,4,2,0.86,247
Alaska Vocational Technical Center,1,1,NULL,967
Charter College,4,3,NULL,2640
Alaska Career College,2,3,NULL,430
Empire Beauty School-Tucson,1,3,NULL,118
Thunderbird School of Global Management,4,1,NULL,NULL
American Institute of Trucking,1,3,NULL,244
Carrington College-Phoenix North,2,3,0.7062,519
Carrington College-Mesa,2,3,0.553,500
Carrington College-Tucson,1,3,0.9451,269
CollegeAmerica-Flagstaff,3,2,NULL,78
Arizona Academy of Beauty,1,3,NULL,54
Miller-Motte College-Arizona Automotive Institute,1,3,NULL,785
Brookline College-Phoenix,4,3,NULL,1056
Arizona State University Campus Immersion,4,1,0.8415,42181
Arizona Western College,2,1,NULL,6879
University of Arizona,4,1,0.8358,33428
Southwest University of Visual Arts-Tucson,4,3,NULL,125
Central Arizona College,2,1,NULL,4822
Brown Mackie College-Tucson,3,3,NULL,100
Charles of Italy Beauty College,1,3,NULL,51
Cochise County Community College District,2,1,NULL,3528
Empire Beauty School-Flagstaff,1,3,NULL,37
Empire Beauty School-Chandler,1,3,NULL,66
Cortiva Institute-Tucson,1,3,NULL,79
Avalon Institute-Mesa,1,3,NULL,298
Eastern Arizona College,2,1,NULL,3729
Embry-Riddle Aeronautical University-Prescott,4,2,0.7652,2598
The School of Architecture,4,2,NULL,NULL
Glendale Community College,2,1,NULL,14609
Grand Canyon University,4,3,0.6692,48666
GateWay Community College,2,1,NULL,4365
Mesa Community College,2,1,NULL,15759
Mohave Community College,2,1,NULL,2875
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,1,3,NULL,1020
Dine College,3,1,NULL,1363
Northern Arizona University,4,1,0.8085,26974
Northland Pioneer College,2,1,NULL,1453
Ottawa University-Phoenix,4,2,NULL,329
Phoenix College,2,1,NULL,9147
Cortiva Institute-Scottsdale,1,3,NULL,82
Pima Community College,2,1,NULL,20165
Pima Medical Institute-Tucson,3,3,NULL,1796
Pima Medical Institute-Albuquerque,2,3,NULL,820
Prescott College,4,2,0.9526,350
Refrigeration School Inc,2,3,NULL,732
Rio Salado College,2,1,NULL,6086
Roberto-Venn School of Luthiery,1,3,NULL,24
Hair Academy of Safford,1,3,NULL,38
Scottsdale Community College,2,1,NULL,6025
South Mountain Community College,2,1,NULL,3167
Arizona Christian University,3,2,0.6444,696
Universal Technical Institute of Arizona Inc,2,3,NULL,1860
Western International University,4,3,NULL,597
Empire Beauty School-NW Phoenix,1,3,NULL,109
Yavapai College,2,1,NULL,4682
University of Arkansas at Little Rock,4,1,0.7463,6677
University of Arkansas for Medical Sciences,4,1,NULL,633
Arkansas Baptist College,3,2,NULL,593
Arkansas Beauty School-Little Rock,1,3,NULL,129
Arkansas Beauty College,1,3,NULL,27
Lyon College,3,2,0.6418,664
Arkansas Technical School,1,3,NULL,127
Arthur's Beauty College,1,3,NULL,41
University of Arkansas,4,1,0.6596,22763
University of Arkansas at Pine Bluff,4,1,0.4669,2510
Arkansas State University-Beebe,2,1,NULL,2645
Arkansas State University,4,1,0.6602,8856
Arkansas Tech University,4,1,0.9475,8247
University of Arkansas at Monticello,4,1,NULL,2589
Arthur's Beauty College,1,3,NULL,59
Baptist Health College Little Rock,2,2,0.6875,676
Black River Technical College,2,1,NULL,1216
University of Central Arkansas,4,1,0.8995,9034
Central Baptist College,3,2,0.6755,676
Cossatot Community College of the University of Arkansas,2,1,NULL,955
Crowley's Ridge College,3,2,NULL,192
Crowley's Ridge Technical Institute,1,1,NULL,164
East Arkansas Community College,2,1,NULL,565
Eastern College of Health Vocations-Little Rock,1,3,NULL,115
Paul Mitchell the School-Little Rock,1,3,NULL,385
National Park College,2,1,NULL,2140
University of Arkansas Community College-Batesville,2,1,NULL,954
Harding University,4,2,0.7212,4147
Henderson State University,4,1,0.7968,2829
Hendrix College,4,2,0.798,1233
Hot Springs Beauty College,1,3,NULL,38
Jefferson Regional Medical Center School of Nursing,1,2,NULL,65
John Brown University,4,2,0.7579,1606
Career Academy of Hair Design,1,3,NULL,169
Academy of Salon and Spa,1,3,NULL,58
Arkansas State University Mid-South,2,1,NULL,873
Arkansas Northeastern College,2,1,NULL,1002
New Tyler Barber College Inc,1,3,NULL,50
North Arkansas College,2,1,NULL,1466
Northwest Technical Institute,1,1,NULL,175
Ouachita Baptist University,3,2,0.7094,1513
Arkansas State University Three Rivers,2,1,NULL,642
Ozarka College,2,1,NULL,852
University of the Ozarks,3,2,0.8915,745
University of Arkansas Community College-Morrilton,2,1,0.7506,1796
Philander Smith College,3,2,NULL,887
