INSTNM,HIGHDEG,CONTROL,ADM_RATE,UGDS
Alabama A & M University,4,1,0.8986,4990
University of Alabama at Birmingham,4,1,0.9211,13186
Amridge University,4,2,NULL,351
University of Alabama in Huntsville,4,1,0.8087,7458
Alabama State University,4,1,0.9774,3903
The University of Alabama,4,1,0.5906,32177
Central Alabama Community College,2,1,NULL,1211
Athens State University,4,1,NULL,2732
Auburn University at Montgomery,4,1,0.9281,4529
Auburn University,4,1,0.7543,24147
Birmingham-Southern College,3,2,0.5666,1265
Chattahoochee Valley Community College,2,1,NULL,1446
South University-Montgomery,4,3,NULL,321
Enterprise State Community College,2,1,NULL,1269
Coastal Alabama Community College,2,1,NULL,5494
Faulkner University,4,2,0.5227,2079
Gadsden State Community College,2,1,NULL,4147
New Beginning College of Cosmetology,1,3,NULL,83
George C Wallace Community College-Dothan,2,1,NULL,3746
George C Wallace State Community College-Hanceville,2,1,NULL,4569
George C Wallace State Community College-Selma,2,1,NULL,1104
Herzing University-Birmingham,4,2,0.95,544
Huntingdon College,3,2,0.5841,1078
Heritage Christian University,4,2,NULL,49
J. F. Drake State Community and Technical College,2,1,NULL,678
J F Ingram State Technical College,1,1,NULL,443
Jacksonville State University,4,1,0.543,6394
Jefferson State Community College,2,1,NULL,6937
John C Calhoun State Community College,2,1,NULL,8270
Judson College,3,2,0.482,259
Lawson State Community College,2,1,NULL,2959
University of West Alabama,4,1,0.3966,2152
Lurleen B Wallace Community College,2,1,NULL,1267
Marion Military Institute,2,1,0.5646,392
Miles College,3,2,NULL,1546
University of Mobile,4,2,0.4704,1294
University of Montevallo,4,1,0.4848,2251
Northwest-Shoals Community College,2,1,NULL,2590
University of North Alabama,4,1,0.6434,5741
Northeast Alabama Community College,2,1,NULL,1982
Oakwood University,4,2,0.6589,1569
Reid State Technical College,2,1,NULL,261
Bishop State Community College,2,1,NULL,2440
Samford University,4,2,0.8208,3524
Selma University,4,2,NULL,304
Shelton State Community College,2,1,NULL,3829
Snead State Community College,2,1,NULL,1872
University of South Alabama,4,1,0.7931,10035
Spring Hill College,4,2,0.6577,1252
