INSTNM,HIGHDEG,CONTROL,ADM_RATE,UGDS
Alabama A & M University,4,1,0.8738,4616
University of Alabama at Birmingham,4,1,0.5814,12047
Amridge University,4,2,NULL,293
University of Alabama in Huntsville,4,1,0.7628,6346
Alabama State University,4,1,0.459,4704
The University of Alabama,4,1,0.5259,31663
Central Alabama Community College,2,1,NULL,1492
Athens State University,3,1,NULL,2888
Auburn University at Montgomery,4,1,0.7659,4171
Auburn University,4,1,0.8054,22095
Birmingham-Southern College,3,2,0.4839,1289
Chattahoochee Valley Community College,2,1,NULL,1424
Concordia College Alabama,3,2,0.2363,340
South University-Montgomery,4,3,NULL,394
Enterprise State Community College,2,1,NULL,1357
Coastal Alabama Community College,2,1,NULL,4189
Faulkner University,4,2,0.4538,2297
Gadsden State Community College,2,1,NULL,4540
New Beginning College of Cosmetology,1,3,NULL,82
George C Wallace Community College-Dothan,2,1,NULL,3904
George C Wallace State Community College-Hanceville,2,1,NULL,4857
George C Wallace State Community College-Selma,2,1,NULL,1397
Herzing University-Birmingham,4,3,0.9747,481
Huntingdon College,3,2,0.5676,1140
Heritage Christian University,4,2,0.3333,50
J. F. Drake State Community and Technical College,2,1,NULL,794
J F Ingram State Technical College,1,1,NULL,446
Jacksonville State University,4,1,0.5308,6714
Jefferson Davis Community College,2,1,NULL,955
Jefferson State Community College,2,1,NULL,7256
John C Calhoun State Community College,2,1,NULL,8414
Judson College,3,2,0.5755,327
Lawson State Community College,2,1,NULL,2931
University of West Alabama,4,1,0.531,1974
Lurleen B Wallace Community College,2,1,NULL,1419
Marion Military Institute,2,1,0.6431,422
Miles College,3,2,NULL,1820
University of Mobile,4,2,0.6193,1367
University of Montevallo,4,1,0.6542,2399
Northwest-Shoals Community College,2,1,NULL,2994
University of North Alabama,4,1,0.5574,5846
Northeast Alabama Community College,2,1,NULL,2007
Oakwood University,4,2,0.4837,1719
Alabama Southern Community College,2,1,NULL,1085
Prince Institute-Southeast,2,3,NULL,10
Reid State Technical College,2,1,NULL,372
Bishop State Community College,2,1,NULL,2632
Samford University,4,2,0.9138,3324
Selma University,3,2,NULL,165
Shelton State Community College,2,1,NULL,4436
Snead State Community College,2,1,NULL,1987
University of South Alabama,4,1,0.805,11483
Spring Hill College,4,2,0.4353,1379
Southeastern Bible College,3,2,1,143
Stillman College,3,2,0.4192,628
Talladega College,3,2,NULL,669
H Councill Trenholm State Community College,2,1,NULL,1364
Troy University,4,1,0.9125,13745
Tuskegee University,4,2,0.4999,2393
United States Sports Academy,4,2,NULL,72
Bevill State Community College,2,1,NULL,3211
University of Alaska Anchorage,4,1,0.8285,11833
Alaska Bible College,3,2,NULL,30
University of Alaska Fairbanks,4,1,0.7347,5152
University of Alaska Southeast,4,1,0.4896,1317
Alaska Pacific University,4,2,0.5506,262
Alaska Vocational Technical Center,1,1,NULL,1209
Charter College,4,3,NULL,2641
Alaska Career College,2,3,NULL,424
Empire Beauty School-Tucson,1,3,NULL,104
Thunderbird School of Global Management,4,1,NULL,NULL
American Institute of Trucking,1,3,NULL,274
Carrington College-Phoenix North,2,3,0.8451,653
Carrington College-Mesa,2,3,0.4413,599
Carrington College-Tucson,1,3,0.6748,308
CollegeAmerica-Flagstaff,3,2,NULL,101
Arizona Academy of Beauty,1,3,NULL,90
Miller-Motte College-Arizona Automotive Institute,1,3,NULL,739
Brookline College-Phoenix,4,3,NULL,1101
Arizona State University Campus Immersion,4,1,0.825,42224
Arizona Western College,2,1,NULL,6511
