INSTNM,HIGHDEG,CONTROL,ADM_RATE,UGDS
Arkansas Northeastern College,2,1,NULL,1014
Margaret's Hair Academy Inc,1,3,NULL,38
New Tyler Barber College Inc,1,3,NULL,59
North Arkansas College,2,1,NULL,1502
Northwest Technical Institute,1,1,NULL,186
Ouachita Baptist University,3,2,0.6845,1471
Arkansas State University Three Rivers,2,1,NULL,764
Ozarka College,2,1,NULL,842
University of the Ozarks,3,2,0.9677,640
University of Arkansas Community College-Morrilton,2,1,0.6647,1970
Philander Smith College,3,2,NULL,584
Phillips Community College of the University of Arkansas,2,1,NULL,708
Southeast Arkansas College,2,1,NULL,1357
Professional Cosmetology Education Center,1,3,NULL,41
University of Arkansas-Pulaski Technical College,2,1,NULL,6844
University of Arkansas Hope-Texarkana,2,1,NULL,1043
University of Arkansas Community College Rich Mountain,2,1,NULL,501
Paul Mitchell the School-Arkansas,1,3,NULL,108
Searcy Beauty College,1,3,NULL,52
Shorter College,2,2,NULL,236
Williams Baptist University,3,2,0.6375,490
South Arkansas Community College,2,1,NULL,1182
Southern Arkansas University Main Campus,4,1,0.6748,2859
Southern Arkansas University Tech,2,1,NULL,697
Velvatex College of Beauty Culture,1,3,NULL,23
University of Arkansas-Fort Smith,3,1,0.5581,5754
Academy of Art University,4,3,NULL,8969
ITT Technical Institute-Rancho Cordova,3,3,0.9317,415
Academy of Chinese Culture and Health Sciences,4,2,NULL,NULL
The Academy of Radio and TV Broadcasting,1,3,NULL,34
Avalon School of Cosmetology-Alameda,1,3,NULL,135
College of Alameda,2,1,NULL,5486
Allan Hancock College,2,1,NULL,9437
American Academy of Dramatic Arts-Los Angeles,2,2,0.7468,295
Berkeley School of Theology,4,2,NULL,NULL
American Film Institute Conservatory,4,2,NULL,NULL
American Beauty College,1,3,NULL,79
American Career College-Los Angeles,2,3,NULL,1543
American Conservatory Theater,4,2,1,1
American River College,2,1,NULL,26760
Antelope Valley Community College District,2,1,NULL,12286
Art Center College of Design,4,2,0.7951,1890
Associated Technical College-Los Angeles,1,3,NULL,377
Associated Technical College-San Diego,1,3,NULL,76
Azusa Pacific University,4,2,0.809,5883
Bakersfield College,2,1,NULL,17918
Barstow Community College,2,1,NULL,2782
Bellus Academy-Chula Vista,1,3,NULL,164
Bethesda University,4,2,NULL,279
Biola University,4,2,0.6985,4219
Brooks Institute,4,3,0.9755,334
Brownson Technical School,1,3,NULL,46
Bryan University,4,3,NULL,1417
Butte College,2,1,NULL,10646
Phillips Graduate University,4,2,NULL,NULL
California Institute of Integral Studies,4,2,NULL,78
Cabrillo College,2,1,NULL,11696
California Baptist University,4,2,0.6541,6604
California College of the Arts,4,2,0.6854,1491
University of California-Hastings College of Law,4,1,NULL,NULL
California Institute of Technology,4,2,0.0881,1001
California Lutheran University,4,2,0.6156,2802
California Polytechnic State University-San Luis Obispo,4,1,0.3129,19972
Alliant International University-San Diego,4,3,0.9155,342
California State University-Bakersfield,4,1,0.6875,8068
California State University-Stanislaus,4,1,0.7063,8093
California State University-San Bernardino,4,1,0.6459,17518
California State Polytechnic University-Pomona,4,1,0.3931,22034
California State University-Chico,4,1,0.6345,15903
California State University-Dominguez Hills,4,1,0.5277,12584
California State University-Fresno,4,1,0.5219,21076
California State University-Fullerton,4,1,0.4186,33009
California State University-East Bay,4,1,0.7403,12981
California State University-Long Beach,4,1,0.3382,32025
California State University-Los Angeles,4,1,0.6813,23424
California State University-Northridge,4,1,0.456,36979
California State University-Sacramento,4,1,0.6725,27323
University of California-Berkeley,4,1,0.1688,27496
University of California-Davis,4,1,0.3795,28239
University of California-Irvine,4,1,0.3868,25245
University of California-Los Angeles,4,1,0.1728,29581
University of California-Riverside,4,1,0.556,18597
University of California-San Diego,4,1,0.3374,26584
University of California-San Francisco,4,1,NULL,NULL
University of California-Santa Barbara,4,1,0.3264,20606
University of California-Santa Cruz,4,1,0.5029,16231
Sofia University,4,3,NULL,10
California Beauty School,1,3,NULL,54
California Christian College,3,2,1,18
Le Cordon Bleu College of Culinary Arts-San Francisco,2,3,NULL,378
California Hair Design Academy,1,3,NULL,210
California Institute of the Arts,4,2,0.2493,942
California State University Maritime Academy,4,1,0.6617,1072
California Western School of Law,4,2,NULL,NULL
Canada College,2,1,NULL,5192
College of the Canyons,2,1,NULL,16628
Career Academy of Beauty,1,3,NULL,153
Casa Loma College-Van Nuys,2,2,0.8052,356
CET-San Diego,1,2,NULL,307
CET-San Jose,1,2,NULL,431
CET-El Centro,1,2,NULL,380
CET-Colton,1,2,NULL,189
CET-Watsonville,1,2,NULL,163
CET-Salinas,1,2,NULL,93
Cerritos College,2,1,NULL,20439
Cerro Coso Community College,2,1,NULL,4104
Chabot College,2,1,NULL,12255
Chaffey College,2,1,NULL,18449
Chapman University,4,2,0.4758,6281
Charles R Drew University of Medicine and Science,4,2,NULL,85
Concordia University-Irvine,4,2,0.5917,1863
San Diego Christian College,3,2,0.5173,905
Church Divinity School of the Pacific,4,2,NULL,NULL
Citrus College,2,1,NULL,11599
Citrus Heights Beauty College,1,3,NULL,81
City College of San Francisco,2,1,NULL,21619
Claremont Graduate University,4,2,NULL,NULL
Claremont McKenna College,4,2,0.1096,1325
Milan Institute-Visalia,1,3,NULL,354
Clovis Adult Education,1,1,NULL,612
Coastline Community College,2,1,NULL,9773
University of Silicon Valley,3,3,0.6074,630
Coleman University,4,2,0.7356,346
Coba Academy,1,3,NULL,35
Western University of Health Sciences,4,2,NULL,NULL
Columbia College,2,1,NULL,2173
Columbia College Hollywood,3,2,0.8358,326
Compton College,2,1,NULL,6484
Contra Costa College,2,1,NULL,5052
Cosumnes River College,2,1,NULL,13315
Crafton Hills College,2,1,NULL,5127
Cuesta College,2,1,NULL,7835
Cuyamaca College,2,1,NULL,7748
Cypress College,2,1,NULL,15175
De Anza College,2,1,NULL,20047
International School of Beauty Inc,1,3,NULL,186
Dell'Arte International School of Physical Theatre,4,2,NULL,15
College of the Desert,2,1,NULL,9516
Design Institute of San Diego,3,3,NULL,148
Diablo Valley College,2,1,NULL,17868
Dominican University of California,4,2,0.7883,1358
Dominican School of Philosophy & Theology,4,2,NULL,NULL
East Los Angeles College,2,1,NULL,32384
El Camino Community College District,2,1,NULL,21885
Elegance International,1,3,NULL,462
Emperor's College of Traditional Oriental Medicine,4,3,NULL,NULL
Empire College,4,3,NULL,377
Evergreen Valley College,2,1,NULL,7313
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,3,3,0.4926,2814
FIDM-Fashion Institute of Design & Merchandising-San Francisco,3,3,0.4802,395
FIDM-Fashion Institute of Design & Merchandising-Orange County,3,3,0.5793,92
Feather River Community College District,2,1,NULL,1574
Federico Beauty Institute,1,3,NULL,256
Fielding Graduate University,4,2,NULL,NULL
Five Branches University,4,3,NULL,NULL
Redondo Beach Beauty College,1,3,NULL,22
Foothill College,2,1,NULL,13930
Franciscan School of Theology,4,2,NULL,NULL
Fredrick and Charles Beauty College,1,3,NULL,59
Fresno City College,2,1,NULL,19180
Fresno Pacific University,4,2,0.6313,2342
Fuller Theological Seminary,4,2,NULL,NULL
Fullerton College,2,1,NULL,22529
Gavilan College,2,1,NULL,5176
Gemological Institute of America-Carlsbad,1,2,NULL,218
Glendale Community College,2,1,NULL,13928
Glendale Career College,2,3,NULL,287
Golden Gate University,4,2,NULL,451
Golden West College,2,1,NULL,11102
Graduate Theological Union,4,2,NULL,NULL
Grossmont College,2,1,NULL,16285
Salon Success Academy-Riverside,1,3,NULL,30
Hartnell College,2,1,NULL,10384
Harvey Mudd College,3,2,0.1296,812
Hilltop Beauty School,1,3,NULL,132
Holy Names University,4,2,0.43,624
Pacifica Graduate Institute,4,3,NULL,NULL
Humboldt State University,4,1,0.77,8227
Humphreys University-Stockton and Modesto Campuses,4,2,NULL,438
Imperial Valley College,2,1,NULL,6816
Institute for Business and Technology,1,3,NULL,408
Interior Designers Institute,3,3,NULL,196
International School of Cosmetology,1,3,NULL,243
Irvine Valley College,2,1,NULL,11499
ITT Technical Institute-National City,3,3,0.88,700
ITT Technical Institute-San Dimas,3,3,0.9653,420
ITT Technical Institute-Orange,3,3,0.8462,666
Bellus Academy-El Cajon,1,3,NULL,118
John F. Kennedy University,4,2,NULL,216
American Jewish University,4,2,0.8036,73
Reedley College,2,1,NULL,7858
Life Pacific University,4,2,0.6384,520
Argosy University-The Art Institute of California-San Diego,3,3,NULL,1382
University of La Verne,4,2,0.4718,5140
Laguna College of Art and Design,4,2,0.3727,571
Lake Tahoe Community College,2,1,NULL,2062
Lancaster Beauty School,1,3,NULL,97
Laney College,2,1,NULL,10339
Lassen Community College,2,1,NULL,1940
Life Chiropractic College West,4,2,NULL,NULL
Lincoln University,4,2,NULL,149
Southern California Seminary,4,2,NULL,60
La Sierra University,4,2,0.4462,2020
Loma Linda University,4,2,NULL,1048
Long Beach City College,2,1,NULL,23215
Southern California University of Health Sciences,4,2,NULL,70
Los Angeles Harbor College,2,1,NULL,8737
Los Angeles Pierce College,2,1,NULL,18578
Los Angeles Southwest College,2,1,NULL,5720
Los Angeles Trade Technical College,2,1,NULL,12584
Los Angeles Valley College,2,1,NULL,16466
The Master's University and Seminary,4,2,0.9469,1126
Los Angeles City College,2,1,NULL,15634
Los Angeles County College of Nursing and Allied Health,2,1,NULL,196
Los Angeles Mission College,2,1,NULL,8530
Los Medanos College,2,1,NULL,7883
Argosy University-The Art Institute of California-San Francisco,4,3,NULL,788
Loyola Marymount University,4,2,0.5078,6162
Lu Ross Academy,1,3,NULL,176
Lyle's College of Beauty,1,3,NULL,51
Lyle's College of  Beauty,1,3,NULL,67
Lytles Redwood Empire Beauty College,1,3,NULL,129
MTI Business College Inc,1,3,NULL,120
MTI College,2,3,0.7815,894
Brightwood College-Sacramento,2,3,NULL,439
Brightwood College-San Diego,2,3,NULL,1163
Brightwood College-Vista,2,3,NULL,738
College of Marin,2,1,NULL,4689
Marymount California University,3,2,NULL,1059
Mendocino College,2,1,NULL,3281
Menlo College,3,2,0.3808,784
Merced College,2,1,NULL,9114
Merritt College,2,1,NULL,5818
Mills College,4,2,0.7156,852
MiraCosta College,2,1,NULL,14197
Mission College,2,1,NULL,6900
Modern Beauty Academy,1,3,NULL,33
Brightwood College-Los Angeles-Van Nuys,2,3,NULL,812
Modesto Junior College,2,1,NULL,16280
Moler Barber College,1,3,NULL,123
Middlebury Institute of International Studies at Monterey,4,2,NULL,17
Monterey Peninsula College,2,1,NULL,7646
Moorpark College,2,1,NULL,13327
Mt San Antonio College,2,1,NULL,26441
Mount Saint Mary's University,4,2,0.7653,2767
Mt San Jacinto Community College District,2,1,NULL,13948
Mueller College,1,3,NULL,51
Musicians Institute,3,3,0.8593,1040
Napa Valley College,2,1,NULL,5700
National Holistic Institute,1,3,NULL,675
National University,4,2,NULL,8555
Naval Postgraduate School,4,1,NULL,NULL
Newschool of Architecture and Design,4,3,0.9722,403
Newberry School of Beauty,1,3,NULL,152
North Adrian's College of Beauty Inc,1,3,NULL,228
North-West College-Pomona,1,3,NULL,265
North-West College-West Covina,1,3,1,560
North-West College-Van Nuys,1,3,NULL,219
Notre Dame de Namur University,4,2,0.8667,1097
Occidental College,3,2,0.4487,1997
Oceanside College of Beauty,1,3,NULL,48
Ohlone College,2,1,NULL,8576
Orange Coast College,2,1,NULL,20809
Otis College of Art and Design,4,2,0.9036,1099
Oxnard College,2,1,NULL,6539
Hope International University,4,2,0.3425,843
Concorde Career College-San Diego,2,3,0.8261,647
Palo Alto University,4,2,NULL,168
Pacific Lutheran Theological Seminary,4,2,NULL,NULL
Pacific Oaks College,4,2,NULL,543
Pacific School of Religion,4,2,NULL,NULL
Pacific States University,4,2,NULL,15
Pacific Union College,4,2,0.4522,1508
University of the Pacific,4,2,0.6456,3720
Palo Verde College,2,1,NULL,3486
Palomar College,2,1,NULL,21154
Paris Beauty College,1,3,NULL,62
Pasadena City College,2,1,NULL,25234
Pepperdine University,4,2,0.381,3514
Pitzer College,3,2,0.1347,1067
Platt College-San Diego,3,3,NULL,252
Point Loma Nazarene University,4,2,0.7134,2763
Pomona College,3,2,0.103,1640
Porterville College,2,1,NULL,3527
Professional Institute of Beauty,1,3,NULL,108
Santa Ana College,2,1,NULL,27575
Pardee RAND Graduate School,4,2,NULL,NULL
Shasta School of Cosmetology,1,3,NULL,53
University of Redlands,4,2,0.6752,3452
College of the Redwoods,2,1,NULL,4018
Salon Success Academy-Upland,1,3,NULL,108
Salon Success Academy-Corona,1,3,NULL,88
Rio Hondo College,2,1,NULL,15941
Riverside City College,2,1,NULL,17010
Argosy University-San Francisco Bay Area,4,3,NULL,110
Rosemead Beauty School,1,3,NULL,193
Dongguk University Los Angeles,4,2,NULL,75
Rudolf Steiner College,4,2,NULL,24
Sacramento City College,2,1,NULL,20781
Saddleback College,2,1,NULL,17879
Samuel Merritt University,4,2,NULL,506
San Diego City College,2,1,NULL,14129
Golf Academy of America-San Diego,2,3,NULL,132
San Diego Mesa College,2,1,NULL,20807
San Diego Miramar College,2,1,NULL,11557
San Diego State University,4,1,0.3441,28649
University of San Diego,4,2,0.5168,5551
San Francisco Art Institute,4,2,0.6536,404
San Francisco Conservatory of Music,4,2,0.4669,157
San Francisco State University,4,1,0.6788,25867
University of Redlands Graduate School of Theology,4,2,NULL,NULL
University of San Francisco,4,2,0.6436,6682
San Joaquin College of Law,4,2,NULL,NULL
San Joaquin Delta College,2,1,NULL,15208
San Joaquin Valley College-Visalia,2,3,NULL,5605
William Jessup University,4,2,0.7605,1093
San Jose City College,2,1,NULL,7271
San Jose State University,4,1,0.5522,26670
College of San Mateo,2,1,NULL,7679
Santa Barbara Business College-Bakersfield,3,3,NULL,487
Santa Barbara Business College-Santa Maria,3,3,NULL,166
Santa Barbara City College,2,1,NULL,15092
Santa Clara University,4,2,0.488,5344
Santa Monica College,2,1,NULL,28136
Santa Rosa Junior College,2,1,NULL,19537
Saybrook University,4,2,NULL,NULL
Scripps College,4,2,0.279,968
College of the Sequoias,2,1,NULL,10174
Shasta Bible College and Graduate School,4,2,0.7273,43
Shasta College,2,1,NULL,7432
Sierra College,2,1,NULL,16911
Sierra College of Beauty,1,3,NULL,151
Sierra Valley College of Court Reporting,1,3,NULL,79
Trinity Law School,4,2,NULL,NULL
Simpson University,4,2,0.5152,959
College of the Siskiyous,2,1,NULL,1887
Charles A Jones Career and Education Center,1,1,NULL,491
Skyline College,2,1,NULL,8557
San Bernardino Valley College,2,1,NULL,11503
Saint Mary's College of California,4,2,0.7526,2916
Solano Community College,2,1,NULL,8398
Sonoma State University,4,1,0.7655,8589
South Baylo University,4,2,NULL,66
South Coast College,2,3,NULL,315
Vanguard University of Southern California,4,2,0.6826,1856
Concorde Career College-Garden Grove,2,3,0.8701,639
Southwestern College,2,1,NULL,16786
St John's Seminary,4,2,NULL,NULL
Starr King School for the Ministry,4,2,NULL,NULL
Marshall B Ketchum University,4,2,NULL,NULL
Southern California Institute of Architecture,4,2,0.7336,255
University of Southern California,4,2,0.1768,18519
Southwestern Law School,4,2,NULL,NULL
Taft College,2,1,NULL,4093
Claremont School of Theology,4,2,NULL,NULL
Thomas Aquinas College,3,2,0.7513,377
Epic Bible College & Graduate School,4,2,NULL,162
United Education Institute-Huntington Park Campus,1,3,NULL,624
Concorde Career College-San Bernardino,2,3,0.7462,561
Universal College of Beauty Inc-Los Angeles 1,1,3,NULL,21
Concorde Career College-North Hollywood,2,3,0.8111,466
Ventura College,2,1,NULL,11735
Bridges Beauty College,1,3,NULL,98
Victor Valley College,2,1,NULL,9817
Berkeley City College,2,1,NULL,6539
Walden University,4,3,NULL,7815
Waynes College of Beauty,1,3,NULL,27
West Hills College-Coalinga,2,1,NULL,2369
West Los Angeles College,2,1,NULL,9892
West Valley College,2,1,NULL,7504
Carrington College-Sacramento,2,3,0.4783,1272
Westminster Theological Seminary in California,4,2,NULL,NULL
Westmont College,3,2,0.8122,1296
Whittier College,4,2,0.6262,1643
Woodbury University,4,2,0.576,1245
The Wright Institute,4,2,NULL,NULL
Western State College of Law at Argosy University,4,3,NULL,NULL
Thomas Jefferson School of Law,4,2,NULL,NULL
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,3,2,0.5842,161
Yuba College,2,1,NULL,6193
The Salon Professional Academy-Grand Junction,1,3,NULL,77
Adams State University,4,1,0.6435,2067
Aims Community College,2,1,NULL,3550
Arapahoe Community College,2,1,NULL,6860
Bel-Rea Institute of Animal Technology,2,3,0.355,500
Altierus Career College-Colorado Springs,2,2,NULL,209
University of Colorado Denver/Anschutz Medical Campus,4,1,0.6742,10855
University of Colorado Colorado Springs,4,1,0.9206,9514
Spartan College of Aeronautics and Technology,2,3,NULL,450
University of Colorado Boulder,4,1,0.7962,26496
Colorado Christian University,4,2,NULL,3885
Colorado College,4,2,0.1713,2096
Concorde Career College-Aurora,2,3,0.6436,578
The Art Institute of Colorado,3,3,NULL,1145
Colorado Mountain College,3,1,NULL,3514
Colorado Northwestern Community College,2,1,NULL,668
Colorado School of Mines,4,1,0.3767,4532
Colorado School of Trades,2,3,NULL,171
Colorado State University-Fort Collins,4,1,0.8082,22727
Colorado Technical University-Colorado Springs,4,3,NULL,1135
Empire Beauty School-Lakewood,1,3,NULL,57
Community College of Aurora,2,1,NULL,4856
CollegeAmerica-Denver,3,2,NULL,299
Technical College of the Rockies,1,1,NULL,194
Community College of Denver,2,1,NULL,7076
Lincoln College of Technology-Denver,2,3,NULL,1054
Denver Seminary,4,2,NULL,NULL
University of Denver,4,2,0.7275,5758
Emily Griffith Technical College,1,1,NULL,4144
Fort Lewis College,3,1,0.8596,3559
Front Range Community College,2,1,NULL,14848
Glenwood Beauty Academy,1,3,NULL,35
Hair Dynamics Education Center,1,3,NULL,121
Iliff School of Theology,4,2,NULL,NULL
International Salon and Spa Academy,1,3,NULL,231
Lamar Community College,2,1,NULL,475
Colorado Mesa University,4,1,0.8306,8625
Metropolitan State University of Denver,4,1,0.6522,19649
Morgan Community College,2,1,NULL,707
Naropa University,4,2,0.7956,396
National American University-Colorado Springs,3,3,NULL,219
National American University-Denver,3,3,NULL,38
Nazarene Bible College,3,2,NULL,725
Northeastern Junior College,2,1,NULL,1063
University of Northern Colorado,4,1,0.8935,8915
Otero Junior College,2,1,NULL,923
Altierus Career College-Thornton,2,2,NULL,232
Pikes Peak Community College,2,1,NULL,11043
IBMC College,2,3,NULL,344
Pueblo Community College,2,1,NULL,4181
Red Rocks Community College,2,1,NULL,6518
Regis University,4,2,0.657,4458
Rocky Mountain College of Art and Design,4,3,NULL,1074
Montessori Education Center of the Rockies,1,2,1,27
Colorado State University Pueblo,4,1,0.9589,3944
Pickens Technical College,1,1,NULL,1184
Intellitec College-Colorado Springs,2,3,NULL,762
Intellitec College-Grand Junction,2,3,NULL,591
Trinidad State Junior College,2,1,NULL,1062
United States Air Force Academy,3,1,0.1709,4111
Empire Beauty School-Thornton,1,3,NULL,79
Western Colorado University,4,1,0.9761,1945
Albertus Magnus College,4,2,NULL,1188
Paul Mitchell the School-Danbury,1,3,NULL,125
Asnuntuck Community College,2,1,NULL,1295
Bais Binyomin Academy,1,2,1,55
Branford Hall Career Institute-Branford Campus,1,3,NULL,381
Lincoln College of New England-Southington,3,3,NULL,619
Bridgeport Hospital School of Nursing,1,2,NULL,185
University of Bridgeport,4,2,0.5177,2897
Central Connecticut State University,4,1,0.5867,9559
Charter Oak State College,3,1,NULL,1634
Cortiva Institute,1,3,NULL,324
Connecticut College,4,2,0.3997,1854
Porter and Chester Institute of Hamden,1,3,NULL,256
University of Connecticut,4,1,0.5317,18451
Goodwin University,3,2,NULL,3333
Lincoln Technical Institute-East Windsor,1,3,NULL,875
Eastern Connecticut State University,4,1,0.6356,4767
Fairfield University,4,2,0.6497,3863
Paul Mitchell the School-North Haven,1,3,NULL,160
Capital Community College,2,1,NULL,3110
Rensselaer at Hartford,4,2,NULL,NULL
American Institute-West Hartford,1,3,NULL,386
Hartford Seminary,4,2,NULL,NULL
University of Hartford,4,2,0.6351,5028
Holy Apostles College and Seminary,4,2,NULL,95
Housatonic Community College,2,1,NULL,4974
Manchester Community College,2,1,NULL,5952
Naugatuck Valley Community College,2,1,NULL,6302
Middlesex Community College,2,1,NULL,2505
Mitchell College,3,2,0.737,659
Three Rivers Community College,2,1,NULL,3949
Lincoln Technical Institute-New Britain,1,3,NULL,454
New England Tractor Trailer Training School of Connecticut,1,3,NULL,318
University of New Haven,4,2,0.8212,4942
Ridley-Lowell Business & Technical Institute-New London,1,3,NULL,196
Norwalk Community College,2,1,NULL,4714
Northwestern Connecticut Community College,2,1,NULL,1132
Paier College,3,3,NULL,112
