INSTNM,HIGHDEG,CONTROL,ADM_RATE,UGDS
Alabama A & M University,4,1,0.6538,4348
University of Alabama at Birmingham,4,1,0.6043,11269
Amridge University,4,2,NULL,308
University of Alabama in Huntsville,4,1,0.812,5829
Alabama State University,4,1,0.4639,4740
The University of Alabama,4,1,0.5359,31005
Central Alabama Community College,2,1,NULL,1546
Athens State University,3,1,NULL,2904
Auburn University at Montgomery,4,1,0.7871,4142
Auburn University,4,1,0.7766,21551
Birmingham-Southern College,3,2,0.5306,1346
Chattahoochee Valley Community College,2,1,NULL,1566
Concordia College Alabama,3,2,0.4034,379
South University-Montgomery,4,3,NULL,460
Enterprise State Community College,2,1,NULL,1528
Coastal Alabama Community College,2,1,NULL,4372
Faulkner University,4,2,0.573,2282
Gadsden State Community College,2,1,NULL,4613
New Beginning College of Cosmetology,1,3,NULL,91
George C Wallace Community College-Dothan,2,1,NULL,4173
George C Wallace State Community College-Hanceville,2,1,NULL,4821
George C Wallace State Community College-Selma,2,1,NULL,1383
Herzing University-Birmingham,4,3,0.9541,360
Huntingdon College,3,2,0.5769,1160
Heritage Christian University,4,2,0.7,58
J. F. Drake State Community and Technical College,2,1,NULL,820
J F Ingram State Technical College,2,1,NULL,422
Jacksonville State University,4,1,0.6665,6625
Jefferson Davis Community College,2,1,NULL,1036
Jefferson State Community College,2,1,NULL,7381
John C Calhoun State Community College,2,1,NULL,8547
Judson College,3,2,0.6292,373
Lawson State Community College,2,1,NULL,3003
University of West Alabama,4,1,0.7347,1913
Lurleen B Wallace Community College,2,1,NULL,1412
Marion Military Institute,2,1,0.5918,450
Miles College,3,2,NULL,1869
University of Mobile,4,2,0.6051,1437
University of Montevallo,4,1,0.7001,2553
Northwest-Shoals Community College,2,1,NULL,3047
University of North Alabama,4,1,0.58,5698
Northeast Alabama Community College,2,1,NULL,2050
Oakwood University,4,2,0.4749,1687
Alabama Southern Community College,2,1,NULL,1151
Prince Institute-Southeast,2,3,NULL,25
Reid State Technical College,2,1,NULL,422
Bishop State Community College,2,1,NULL,2701
Samford University,4,2,0.933,3145
Selma University,4,2,NULL,312
Shelton State Community College,2,1,NULL,4478
Snead State Community College,2,1,NULL,2178
University of South Alabama,4,1,0.7816,11379
Spring Hill College,4,2,0.4132,1347
Southeastern Bible College,3,2,1,151
Stillman College,3,2,0.5659,843
Talladega College,3,2,NULL,919
H Councill Trenholm State Community College,2,1,NULL,1282
Troy University,4,1,0.9187,14065
Tuskegee University,4,2,0.5296,2486
United States Sports Academy,4,2,NULL,104
Bevill State Community College,2,1,NULL,3075
University of Alaska Anchorage,4,1,0.706,12348
Alaska Bible College,3,2,NULL,28
University of Alaska Fairbanks,4,1,0.731,5432
University of Alaska Southeast,4,1,0.4891,1372
Alaska Pacific University,4,2,0.3891,260
Alaska Vocational Technical Center,1,1,NULL,970
Charter College,4,3,NULL,1910
Alaska Career College,2,3,NULL,378
Empire Beauty School-Tucson,1,3,NULL,115
Thunderbird School of Global Management,4,1,NULL,NULL
American Indian College Inc,3,2,NULL,96
American Institute of Trucking,1,3,NULL,324
Carrington College-Phoenix North,2,3,0.643,676
Carrington College-Mesa,2,3,0.5635,633
Carrington College-Tucson,1,3,0.7857,357
CollegeAmerica-Flagstaff,3,2,NULL,137
Arizona Academy of Beauty,1,3,NULL,33
Miller-Motte College-Arizona Automotive Institute,1,3,NULL,754
Brookline College-Phoenix,4,3,NULL,1240
Arizona State University Campus Immersion,4,1,0.8291,41222
Arizona Western College,2,1,NULL,6608
University of Arizona,4,1,0.7643,32964
Southwest University of Visual Arts-Tucson,4,3,NULL,131
Central Arizona College,2,1,NULL,5134
Brown Mackie College-Tucson,3,3,NULL,450
Charles of Italy Beauty College,1,3,NULL,63
Cochise County Community College District,2,1,NULL,3949
Empire Beauty School-Flagstaff,1,3,NULL,44
Empire Beauty School-Chandler,1,3,NULL,66
Cortiva Institute-Tucson,1,3,NULL,133
Avalon Institute-Mesa,1,3,NULL,333
Eastern Arizona College,2,1,NULL,4526
Embry-Riddle Aeronautical University-Prescott,4,2,0.7914,2193
The School of Architecture,4,2,NULL,NULL
Glendale Community College,2,1,NULL,15616
Grand Canyon University,4,3,0.432,42444
Olympian Academy of Cosmetology,1,3,NULL,136
GateWay Community College,2,1,NULL,5019
Mesa Community College,2,1,NULL,17717
ITT Technical Institute-Tucson,3,3,0.927,342
ITT Technical Institute-Tempe,3,3,0.9539,379
Mohave Community College,2,1,NULL,3199
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,1,3,NULL,1349
Dine College,3,1,NULL,1369
Northern Arizona University,4,1,0.7687,24992
Northland Pioneer College,2,1,NULL,1614
Ottawa University-Phoenix,4,2,NULL,313
Phoenix College,2,1,NULL,9745
Cortiva Institute-Scottsdale,1,3,NULL,111
Pima Community College,2,1,NULL,19859
Pima Medical Institute-Tucson,3,3,NULL,2023
Pima Medical Institute-Albuquerque,2,3,NULL,913
Prescott College,4,2,0.7043,397
Refrigeration School Inc,2,3,NULL,688
Rio Salado College,2,1,NULL,7515
Roberto-Venn School of Luthiery,1,3,NULL,32
Hair Academy of Safford,1,3,NULL,37
Scottsdale Community College,2,1,NULL,6998
South Mountain Community College,2,1,NULL,3416
Arizona Christian University,3,2,0.5123,644
Tucson College,1,3,NULL,279
Universal Technical Institute of Arizona Inc,2,3,NULL,2100
Western International University,4,3,NULL,914
Empire Beauty School-NW Phoenix,1,3,NULL,155
Yavapai College,2,1,NULL,5112
University of Arkansas at Little Rock,4,1,0.8983,7888
University of Arkansas for Medical Sciences,4,1,NULL,761
ABC Beauty College Inc,1,3,NULL,21
Arkansas Baptist College,3,2,NULL,989
Arkansas Beauty School-Little Rock,1,3,NULL,74
Arkansas Beauty College,1,3,NULL,23
Lyon College,3,2,0.5912,675
Arkansas Technical School,1,3,NULL,176
Arthur's Beauty College,1,3,NULL,29
University of Arkansas,4,1,0.6006,21815
University of Arkansas at Pine Bluff,4,1,0.4616,2526
Arkansas State University-Beebe,2,1,NULL,2889
Arkansas State University,4,1,0.7024,8909
Arkansas Tech University,4,1,0.8911,8799
University of Arkansas at Monticello,4,1,NULL,2549
Arthur's Beauty College,1,3,NULL,54
Baptist Health College Little Rock,1,2,0.3235,663
Black River Technical College,2,1,NULL,1289
University of Central Arkansas,4,1,0.9218,9340
Central Baptist College,3,2,0.4749,777
Cossatot Community College of the University of Arkansas,2,1,NULL,1006
Crowley's Ridge College,3,2,NULL,181
Crowley's Ridge Technical Institute,1,1,NULL,205
East Arkansas Community College,2,1,NULL,721
Eastern College of Health Vocations-Little Rock,1,3,NULL,149
Paul Mitchell the School-Little Rock,1,3,NULL,315
National Park College,2,1,NULL,2061
University of Arkansas Community College-Batesville,2,1,NULL,1054
Harding University,4,2,0.992,4450
Henderson State University,4,1,0.6334,3096
Hendrix College,4,2,0.8238,1303
Hot Springs Beauty College,1,3,NULL,38
Jefferson Regional Medical Center School of Nursing,1,2,NULL,67
John Brown University,4,2,0.7376,1684
Lees School of Cosmetology,1,3,NULL,22
Career Academy of Hair Design,1,3,NULL,248
Academy of Salon and Spa,1,3,NULL,71
Arkansas State University Mid-South,2,1,NULL,978
