INSTNM,HIGHDEG,CONTROL,ADM_RATE,UGDS
California Beauty School,1,3,NULL,93
California Christian College,3,2,NULL,16
Le Cordon Bleu College of Culinary Arts-San Francisco,2,3,NULL,442
California Hair Design Academy,1,3,NULL,195
California Institute of the Arts,4,2,0.2442,946
California State University Maritime Academy,4,1,0.667,1047
California Western School of Law,4,2,NULL,NULL
Canada College,2,1,NULL,5142
College of the Canyons,2,1,NULL,15204
Career Academy of Beauty,1,3,NULL,157
Casa Loma College-Van Nuys,2,2,0.875,446
CET-San Diego,1,2,NULL,253
CET-San Jose,1,2,NULL,327
CET-El Centro,1,2,NULL,260
CET-Colton,1,2,NULL,116
CET-Watsonville,1,2,NULL,96
CET-Salinas,1,2,NULL,54
Cerritos College,2,1,NULL,18171
Cerro Coso Community College,2,1,NULL,4314
Chabot College,2,1,NULL,11968
Chaffey College,2,1,NULL,17284
Chapman University,4,2,0.4704,6211
Charles R Drew University of Medicine and Science,4,2,1,69
Concordia University-Irvine,4,2,0.8608,1884
San Diego Christian College,4,2,0.555,940
Church Divinity School of the Pacific,4,2,NULL,NULL
Citrus College,2,1,NULL,11388
Citrus Heights Beauty College,1,3,NULL,105
City College of San Francisco,2,1,NULL,21683
Claremont Graduate University,4,2,NULL,NULL
Claremont McKenna College,4,2,0.1077,1293
Milan Institute-Visalia,1,3,NULL,352
Clovis Adult Education,1,1,NULL,617
Coastline Community College,2,1,NULL,9503
University of Silicon Valley,4,3,0.438,607
Coleman University,4,2,NULL,512
Coba Academy,1,3,NULL,36
Western University of Health Sciences,4,2,NULL,NULL
Columbia College,2,1,NULL,2191
Columbia College Hollywood,3,2,0.7849,307
Compton College,2,1,NULL,6734
Contra Costa College,2,1,NULL,5333
Cosumnes River College,2,1,NULL,13378
Crafton Hills College,2,1,NULL,5152
Cuesta College,2,1,NULL,7864
Cuyamaca College,2,1,NULL,7588
Cypress College,2,1,NULL,14817
De Anza College,2,1,NULL,20317
Marinello Schools of Beauty-Hemet,1,3,NULL,1142
International School of Beauty Inc,1,3,NULL,220
Dell'Arte International School of Physical Theatre,4,2,NULL,24
College of the Desert,2,1,NULL,8937
Design Institute of San Diego,3,3,NULL,171
Diablo Valley College,2,1,NULL,18314
Dominican University of California,4,2,0.8092,1448
Dominican School of Philosophy & Theology,4,2,NULL,NULL
East Los Angeles College,2,1,NULL,32173
Marinello Schools of Beauty-Santa Clara,1,3,NULL,547
El Camino Community College District,2,1,NULL,22082
Elegance International,1,3,NULL,374
Marinello Schools of Beauty-Burbank,1,3,NULL,426
Marinello Schools of Beauty-Moreno Valley,1,3,NULL,258
Emperor's College of Traditional Oriental Medicine,4,3,NULL,NULL
Empire College,2,3,NULL,411
Evergreen Valley College,2,1,NULL,7325
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,3,3,0.5178,3142
FIDM-Fashion Institute of Design & Merchandising-San Francisco,3,3,0.5388,527
FIDM-Fashion Institute of Design & Merchandising-Orange County,3,3,0.6604,156
Feather River Community College District,2,1,NULL,1543
Federico Beauty Institute,1,3,NULL,283
Fielding Graduate University,4,2,NULL,NULL
Five Branches University,4,3,NULL,NULL
Redondo Beach Beauty College,1,3,NULL,37
Foothill College,2,1,NULL,13478
Franciscan School of Theology,4,2,NULL,NULL
Fredrick and Charles Beauty College,1,3,NULL,73
Fresno City College,2,1,NULL,19770
Fresno Pacific University,4,2,0.6662,2605
Fuller Theological Seminary,4,2,NULL,NULL
Fullerton College,2,1,NULL,22990
Gavilan College,2,1,NULL,4754
Gemological Institute of America-Carlsbad,1,2,NULL,215
Glendale Community College,2,1,NULL,13471
Glendale Career College,1,3,1,346
Golden Gate University,4,2,NULL,482
Golden West College,2,1,NULL,11466
Graduate Theological Union,4,2,NULL,NULL
Grossmont College,2,1,NULL,16357
Salon Success Academy-Riverside,1,3,NULL,27
Hartnell College,2,1,NULL,9161
Harvey Mudd College,3,2,0.1425,802
Heald College-Rancho Cordova,2,3,NULL,854
Heald College-Fresno,2,3,NULL,1301
Heald College-San Jose,2,3,NULL,1254
Heald College-San Francisco,2,3,NULL,748
Heald College-Concord,2,3,NULL,1230
Hilltop Beauty School,1,3,NULL,109
Holy Names University,4,2,0.5706,690
Pacifica Graduate Institute,4,3,NULL,NULL
Humboldt State University,4,1,0.7655,7958
Humphreys University-Stockton and Modesto Campuses,4,2,NULL,617
Imperial Valley College,2,1,NULL,6958
Institute for Business and Technology,1,3,NULL,196
Interior Designers Institute,4,3,NULL,203
International School of Cosmetology,1,3,NULL,225
Irvine Valley College,2,1,NULL,11622
ITT Technical Institute-National City,3,3,0.9448,999
ITT Technical Institute-San Dimas,3,3,0.9382,551
ITT Technical Institute-Orange,3,3,0.898,783
Bellus Academy-El Cajon,1,3,NULL,145
John F. Kennedy University,4,2,NULL,251
American Jewish University,4,2,0.4146,96
Reedley College,2,1,NULL,12900
Life Pacific University,4,2,0.6633,479
Argosy University-The Art Institute of California-San Diego,3,3,NULL,1634
University of La Verne,4,2,0.4656,5137
Laguna College of Art and Design,4,2,0.5847,543
Lake Tahoe Community College,2,1,NULL,2190
Lancaster Beauty School,1,3,NULL,124
Laney College,2,1,NULL,9749
Lassen Community College,2,1,NULL,2291
Life Chiropractic College West,4,2,NULL,NULL
Lincoln University,4,2,NULL,119
Southern California Seminary,4,2,NULL,62
La Sierra University,4,2,0.4064,2054
Loma Linda University,4,2,NULL,1039
Long Beach City College,2,1,NULL,22768
Southern California University of Health Sciences,4,2,NULL,3
Los Angeles Harbor College,2,1,NULL,8707
Los Angeles Pierce College,2,1,NULL,18449
Los Angeles Southwest College,2,1,NULL,5890
Los Angeles Trade Technical College,2,1,NULL,12769
Los Angeles Valley College,2,1,NULL,16127
The Master's University and Seminary,4,2,0.7588,1182
Los Angeles City College,2,1,NULL,15953
Los Angeles County College of Nursing and Allied Health,2,1,NULL,204
Los Angeles Mission College,2,1,NULL,8487
Los Medanos College,2,1,NULL,7751
Argosy University-The Art Institute of California-San Francisco,4,3,NULL,1052
Loyola Marymount University,4,2,0.5271,6064
Lu Ross Academy,1,3,NULL,274
Manchester Beauty College,1,3,NULL,64
Tulare Beauty College,1,3,NULL,41
Lyle's College of Beauty,1,3,NULL,59
Lyle's College of  Beauty,1,3,NULL,51
Lytles Redwood Empire Beauty College,1,3,NULL,132
MTI Business College Inc,1,3,NULL,146
MTI College,2,3,0.8745,1247
Brightwood College-Sacramento,2,3,NULL,426
Brightwood College-San Diego,2,3,NULL,1285
Brightwood College-Vista,2,3,NULL,804
College of Marin,2,1,NULL,4663
Marinello Schools of Beauty-Los Angeles,1,3,NULL,2317
Marymount California University,3,2,NULL,1086
Mendocino College,2,1,NULL,3151
Menlo College,3,2,0.4506,793
Merced College,2,1,NULL,9053
Merritt College,2,1,NULL,5663
Mills College,4,2,0.7614,909
MiraCosta College,2,1,NULL,13855
Marinello Schools of Beauty-San Francisco,1,3,NULL,535
Mission College,2,1,NULL,6737
Modern Beauty Academy,1,3,NULL,36
Brightwood College-Los Angeles-Van Nuys,1,3,NULL,778
Modesto Junior College,2,1,NULL,16253
Moler Barber College,1,3,NULL,102
Middlebury Institute of International Studies at Monterey,4,2,NULL,22
Monterey Peninsula College,2,1,NULL,7067
Moorpark College,2,1,NULL,13180
Mt San Antonio College,2,1,NULL,26463
Mount Saint Mary's University,4,2,0.783,2659
Mt San Jacinto Community College District,2,1,NULL,13695
Mueller College,1,3,NULL,107
Musicians Institute,3,3,0.945,1065
Napa Valley College,2,1,NULL,5752
Everest College-Reseda,2,3,NULL,596
Everest College-Gardena,1,3,NULL,424
Everest College-Alhambra,1,3,NULL,439
Everest College-San Bernardino,2,3,NULL,737
The National Hispanic University,4,3,NULL,47
National Holistic Institute,1,3,NULL,900
National University,4,2,NULL,9451
Naval Postgraduate School,4,1,NULL,NULL
Newschool of Architecture and Design,4,3,0.98,360
Newberry School of Beauty,1,3,NULL,122
North Adrian's College of Beauty Inc,1,3,NULL,280
North-West College-Pomona,1,3,1,268
North-West College-West Covina,1,3,1,559
North-West College-Van Nuys,1,3,1,221
Notre Dame de Namur University,4,2,0.7771,1177
Occidental College,4,2,0.4204,2023
Oceanside College of Beauty,1,3,NULL,77
Ohlone College,2,1,NULL,10093
Orange Coast College,2,1,NULL,20496
Otis College of Art and Design,4,2,0.6648,1090
Oxnard College,2,1,NULL,6652
Hope International University,4,2,0.31,816
Concorde Career College-San Diego,2,3,1,967
Palo Alto University,4,2,NULL,194
Pacific Lutheran Theological Seminary,4,2,NULL,NULL
Pacific Oaks College,4,2,NULL,482
Pacific School of Religion,4,2,NULL,NULL
Pacific States University,4,2,NULL,15
Pacific Union College,4,2,0.4744,1583
University of the Pacific,4,2,0.549,3802
Palo Verde College,2,1,NULL,2981
Palomar College,2,1,NULL,22589
Paris Beauty College,1,3,NULL,161
Pasadena City College,2,1,NULL,24900
Pepperdine University,4,2,0.3546,3434
Pitzer College,3,2,0.1302,1076
Platt College-San Diego,3,3,NULL,314
Point Loma Nazarene University,4,2,0.6953,2560
Pomona College,3,2,0.1219,1635
Porterville College,2,1,NULL,3319
Westwood College-South Bay,3,3,NULL,441
Professional Institute of Beauty,1,3,NULL,120
Santa Ana College,2,1,NULL,27443
Pardee RAND Graduate School,4,2,NULL,NULL
Shasta School of Cosmetology,1,3,NULL,53
University of Redlands,4,2,0.7309,3710
College of the Redwoods,2,1,NULL,2635
Salon Success Academy-Upland,1,3,NULL,190
Salon Success Academy-Corona,1,3,NULL,126
Rio Hondo College,2,1,NULL,13915
Riverside City College,2,1,NULL,16547
Argosy University-San Francisco Bay Area,4,3,NULL,135
Rosemead Beauty School,1,3,NULL,189
Dongguk University Los Angeles,4,2,NULL,20
Rudolf Steiner College,4,2,NULL,36
Sacramento City College,2,1,NULL,21506
Saddleback College,2,1,NULL,18540
Samuel Merritt University,4,2,NULL,523
San Diego City College,2,1,NULL,13920
Golf Academy of America-San Diego,2,3,NULL,168
San Diego Mesa College,2,1,NULL,20838
San Diego Miramar College,2,1,NULL,10722
San Diego State University,4,1,0.3448,27824
University of San Diego,4,2,0.4625,5656
San Francisco Art Institute,4,2,0.9508,459
San Francisco Conservatory of Music,4,2,0.3727,170
San Francisco State University,4,1,0.6597,25170
University of Redlands Graduate School of Theology,4,2,NULL,NULL
University of San Francisco,4,2,0.6005,6745
San Joaquin College of Law,4,2,NULL,NULL
San Joaquin Delta College,2,1,NULL,15887
San Joaquin Valley College-Visalia,2,3,NULL,5219
William Jessup University,4,2,0.7581,1131
San Jose City College,2,1,NULL,7654
San Jose State University,4,1,0.5985,26528
College of San Mateo,2,1,NULL,7981
Santa Barbara Business College-Bakersfield,3,3,NULL,562
Westwood College-Los Angeles,4,3,NULL,1689
Santa Barbara Business College-Santa Maria,3,3,NULL,202
Santa Barbara City College,2,1,NULL,15826
Santa Clara University,4,2,0.4935,5447
Santa Monica College,2,1,NULL,27795
Santa Rosa Junior College,2,1,NULL,20334
Saybrook University,4,2,NULL,NULL
Scripps College,4,2,0.284,962
Wyotech-Fremont,2,3,NULL,805
College of the Sequoias,2,1,NULL,9650
Shasta Bible College and Graduate School,4,2,1,39
Shasta College,2,1,NULL,7096
Sierra College,2,1,NULL,17296
Sierra College of Beauty,1,3,NULL,173
Sierra Valley College of Court Reporting,1,3,NULL,111
Trinity Law School,4,2,NULL,NULL
Simpson University,4,2,0.5736,1065
College of the Siskiyous,2,1,NULL,1772
Charles A Jones Career and Education Center,1,1,NULL,695
Skyline College,2,1,NULL,8690
San Bernardino Valley College,2,1,NULL,11590
Saint Mary's College of California,4,2,0.7595,2949
Solano Community College,2,1,NULL,8450
Sonoma State University,4,1,0.8002,8441
Pinnacle College,1,3,NULL,174
South Baylo University,4,2,NULL,107
South Coast College,2,3,NULL,342
Vanguard University of Southern California,4,2,0.58,1941
Concorde Career College-Garden Grove,2,3,1,974
Southwestern College,2,1,NULL,17057
St John's Seminary,4,2,NULL,NULL
Starr King School for the Ministry,4,2,NULL,NULL
Marshall B Ketchum University,4,2,NULL,NULL
Southern California Institute of Architecture,4,2,0.8079,263
University of Southern California,4,2,0.1802,18392
Southwestern Law School,4,2,NULL,NULL
Taft College,2,1,NULL,4830
Claremont School of Theology,4,2,NULL,NULL
Thomas Aquinas College,3,2,0.827,378
Marinello Schools of Beauty-Lake Forest,1,3,NULL,496
Epic Bible College & Graduate School,3,2,NULL,208
United Education Institute-Huntington Park Campus,2,3,NULL,3564
Concorde Career College-San Bernardino,2,3,1,668
Universal College of Beauty Inc-Los Angeles 1,1,3,NULL,28
Concorde Career College-North Hollywood,2,3,1,620
Ventura College,2,1,NULL,11763
Bridges Beauty College,1,3,NULL,97
Victor Valley College,2,1,NULL,9811
Berkeley City College,2,1,NULL,5938
Walden University,4,3,NULL,8658
Waynes College of Beauty,1,3,NULL,34
West Hills College-Coalinga,2,1,NULL,2534
West Los Angeles College,2,1,NULL,9292
West Valley College,2,1,NULL,7736
Carrington College-Sacramento,2,3,0.9565,1385
Westminster Theological Seminary in California,4,2,NULL,NULL
Westmont College,3,2,0.7936,1297
Whittier College,4,2,0.6188,1624
Woodbury University,4,2,NULL,1331
The Wright Institute,4,2,NULL,NULL
Western State College of Law at Argosy University,4,3,NULL,NULL
Thomas Jefferson School of Law,4,2,NULL,NULL
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,3,2,0.7297,163
Yuba College,2,1,NULL,6062
The Salon Professional Academy-Grand Junction,1,3,NULL,75
Adams State University,4,1,0.6529,2110
Aims Community College,2,1,NULL,3683
Arapahoe Community College,2,1,NULL,8627
Bel-Rea Institute of Animal Technology,2,3,0.8141,489
Altierus Career College-Colorado Springs,2,3,NULL,330
University of Colorado Denver/Anschutz Medical Campus,4,1,0.7299,10786
University of Colorado Colorado Springs,4,1,0.924,9310
Spartan College of Aeronautics and Technology,2,3,NULL,552
University of Colorado Boulder,4,1,0.8416,25873
Colorado Christian University,4,2,0.9432,3657
Colorado College,4,2,0.179,2036
Concorde Career College-Aurora,2,3,0.572,761
The Art Institute of Colorado,3,3,NULL,1414
Colorado Mountain College,3,1,NULL,3558
Colorado Northwestern Community College,2,1,NULL,670
Colorado School of Mines,4,1,0.3647,4383
Colorado School of Trades,2,3,NULL,196
Colorado State University-Fort Collins,4,1,0.8048,22373
Colorado Technical University-Colorado Springs,4,3,NULL,1139
Empire Beauty School-Lakewood,1,3,NULL,83
Community College of Aurora,2,1,NULL,5347
CollegeAmerica-Denver,3,2,NULL,407
Technical College of the Rockies,1,1,NULL,239
Prince Institute-Rocky Mountains,2,3,NULL,0
Community College of Denver,2,1,NULL,7725
Lincoln College of Technology-Denver,2,3,NULL,1263
Denver Seminary,4,2,NULL,NULL
Westwood College-Denver North,3,3,NULL,342
University of Denver,4,2,0.7649,5629
Emily Griffith Technical College,1,1,NULL,3612
Fort Lewis College,3,1,0.9082,3609
Front Range Community College,2,1,NULL,15551
Glenwood Beauty Academy,1,3,NULL,47
Hair Dynamics Education Center,1,3,NULL,172
Iliff School of Theology,4,2,NULL,NULL
International Salon and Spa Academy,1,3,NULL,263
Lamar Community College,2,1,NULL,476
Colorado Mesa University,4,1,0.8227,8413
Metropolitan State University of Denver,4,1,0.6511,20583
Morgan Community College,2,1,NULL,800
Naropa University,4,2,0.7006,434
National American University-Colorado Springs,3,3,NULL,253
National American University-Denver,3,3,NULL,218
Nazarene Bible College,3,2,NULL,758
Northeastern Junior College,2,1,NULL,1317
University of Northern Colorado,4,1,0.7088,9104
Otero Junior College,2,1,NULL,962
Altierus Career College-Thornton,2,3,NULL,342
Pikes Peak Community College,2,1,NULL,11748
IBMC College,2,3,NULL,357
Pueblo Community College,2,1,NULL,4790
Red Rocks Community College,2,1,NULL,7745
Regis University,4,2,0.9604,4914
Rocky Mountain College of Art and Design,4,3,NULL,1013
Montessori Education Center of the Rockies,1,2,1,14
Colorado State University Pueblo,4,1,0.9278,4227
Pickens Technical College,1,1,NULL,1084
Intellitec College-Colorado Springs,2,3,NULL,828
Intellitec College-Grand Junction,2,3,NULL,617
Trinidad State Junior College,2,1,NULL,1183
United States Air Force Academy,3,1,0.1655,3952
Empire Beauty School-Thornton,1,3,NULL,132
Western Colorado University,4,1,0.9741,1936
Yeshiva Toras Chaim Talmudical Seminary,4,2,1,12
Albertus Magnus College,4,2,NULL,1249
Paul Mitchell the School-Danbury,1,3,NULL,137
Asnuntuck Community College,2,1,NULL,1316
Bais Binyomin Academy,1,2,1,61
Branford Hall Career Institute-Branford Campus,1,3,NULL,493
