INSTNM,HIGHDEG,CONTROL,ADM_RATE,UGDS
Alabama A & M University,4,1,0.8965,5090
University of Alabama at Birmingham,4,1,0.806,13549
Amridge University,4,2,NULL,298
University of Alabama in Huntsville,4,1,0.7711,7825
Alabama State University,4,1,0.9888,3603
The University of Alabama,4,1,0.8039,30610
Central Alabama Community College,2,1,NULL,994
Athens State University,4,1,NULL,2629
Auburn University at Montgomery,4,1,0.9555,4301
Auburn University,4,1,0.8507,24368
Birmingham-Southern College,3,2,0.6045,1129
Chattahoochee Valley Community College,2,1,NULL,1183
South University-Montgomery,4,3,NULL,289
Enterprise State Community College,2,1,NULL,1304
Coastal Alabama Community College,2,1,NULL,4680
Faulkner University,4,2,0.7576,1834
Gadsden State Community College,2,1,NULL,3496
New Beginning College of Cosmetology,1,3,NULL,86
George C Wallace Community College-Dothan,2,1,NULL,2991
George C Wallace State Community College-Hanceville,2,1,NULL,4211
George C Wallace State Community College-Selma,2,1,NULL,916
Herzing University-Birmingham,4,2,0.9153,612
Huntingdon College,3,2,0.5439,917
Heritage Christian University,4,2,0.6667,70
J. F. Drake State Community and Technical College,2,1,NULL,597
J F Ingram State Technical College,1,1,NULL,399
Jacksonville State University,4,1,0.6369,6776
Jefferson State Community College,2,1,NULL,6208
John C Calhoun State Community College,2,1,NULL,6492
Judson College,3,2,0.5648,219
Lawson State Community College,2,1,NULL,2612
University of West Alabama,4,1,0.9313,2247
Lurleen B Wallace Community College,2,1,NULL,1081
Marion Military Institute,2,1,0.575,400
Miles College,3,2,NULL,1438
University of Mobile,4,2,0.6657,1164
University of Montevallo,4,1,0.6052,2186
Northwest-Shoals Community College,2,1,NULL,2321
University of North Alabama,4,1,0.8266,5411
Northeast Alabama Community College,2,1,NULL,1642
Oakwood University,4,2,0.8881,1320
Reid State Technical College,2,1,NULL,212
Bishop State Community College,2,1,NULL,1628
Samford University,4,2,0.8399,3573
Shelton State Community College,2,1,NULL,3272
Snead State Community College,2,1,NULL,1489
University of South Alabama,4,1,0.7303,8787
Spring Hill College,4,2,0.5416,1058
Stillman College,3,2,0.5553,699
Talladega College,4,2,NULL,1142
H Councill Trenholm State Community College,2,1,NULL,1335
Troy University,4,1,0.9243,12294
Tuskegee University,4,2,0.6113,2280
United States Sports Academy,4,2,NULL,130
Bevill State Community College,2,1,NULL,2230
University of Alaska Anchorage,4,1,0.7683,8257
Alaska Bible College,3,2,NULL,36
University of Alaska Fairbanks,4,1,0.6701,4259
University of Alaska Southeast,4,1,0.6352,1063
Alaska Pacific University,4,2,0.9065,298
Alaska Vocational Technical Center,1,1,NULL,185
Charter College,3,3,NULL,2120
Alaska Career College,2,3,NULL,412
Empire Beauty School-Tucson,1,3,NULL,114
Carrington College-Phoenix North,2,3,NULL,986
Carrington College-Mesa,2,3,NULL,590
Carrington College-Tucson,2,3,NULL,346
Arizona Academy of Beauty,1,3,NULL,52
Miller-Motte College-Arizona Automotive Institute,1,3,NULL,368
Brookline College-Phoenix,4,3,NULL,1511
Arizona State University Campus Immersion,4,1,0.8837,62633
Arizona Western College,2,1,NULL,5859
